"id_drugProduct"	"id_drug"
"DRPR-000001"	"DRUG-010281"
"DRPR-000002"	"DRUG-010281"
"DRPR-000002"	"DRUG-000097"
"DRPR-000003"	"DRUG-009826"
"DRPR-000004"	"DRUG-009826"
"DRPR-000005"	"DRUG-009826"
"DRPR-000006"	"DRUG-008686"
"DRPR-000007"	"DRUG-000393"
"DRPR-000008"	"DRUG-010799"
"DRPR-000009"	"DRUG-000356"
"DRPR-000010"	"DRUG-000356"
"DRPR-000011"	"DRUG-009830"
"DRPR-000011"	"DRUG-009709"
"DRPR-000012"	"DRUG-010001"
"DRPR-000013"	
"DRPR-000014"	"DRUG-008680"
"DRPR-000015"	"DRUG-010603"
"DRPR-000016"	"DRUG-009366"
"DRPR-000016"	"DRUG-010603"
"DRPR-000017"	"DRUG-008603"
"DRPR-000018"	"DRUG-000008"
"DRPR-000019"	"DRUG-000008"
"DRPR-000020"	"DRUG-000008"
"DRPR-000021"	"DRUG-016576"
"DRPR-000022"	"DRUG-009533"
"DRPR-000023"	"DRUG-009533"
"DRPR-000024"	"DRUG-000168"
"DRPR-000025"	
"DRPR-000026"	"DRUG-010349"
"DRPR-000027"	"DRUG-009806"
"DRPR-000028"	"DRUG-008080"
"DRPR-000029"	"DRUG-000094"
"DRPR-000030"	"DRUG-010130"
"DRPR-000031"	"DRUG-009775"
"DRPR-000032"	"DRUG-010006"
"DRPR-000032"	"DRUG-010591"
"DRPR-000033"	"DRUG-010006"
"DRPR-000033"	"DRUG-010591"
"DRPR-000034"	"DRUG-010006"
"DRPR-000034"	"DRUG-010591"
"DRPR-000035"	"DRUG-011792"
"DRPR-000036"	"DRUG-000114"
"DRPR-000036"	"DRUG-012133"
"DRPR-000037"	"DRUG-012133"
"DRPR-000038"	"DRUG-001556"
"DRPR-000039"	"DRUG-001556"
"DRPR-000040"	"DRUG-001556"
"DRPR-000041"	"DRUG-010417"
"DRPR-000042"	"DRUG-000045"
"DRPR-000043"	"DRUG-000045"
"DRPR-000044"	"DRUG-000041"
"DRPR-000045"	"DRUG-010428"
"DRPR-000046"	"DRUG-003492"
"DRPR-000047"	"DRUG-000276"
"DRPR-000048"	"DRUG-009977"
"DRPR-000049"	"DRUG-010561"
"DRPR-000049"	"DRUG-010561"
"DRPR-000049"	"DRUG-009298"
"DRPR-000049"	"DRUG-009298"
"DRPR-000050"	"DRUG-015357"
"DRPR-000051"	"DRUG-009222"
"DRPR-000052"	"DRUG-003034"
"DRPR-000053"	
"DRPR-000054"	"DRUG-010480"
"DRPR-000055"	"DRUG-011952"
"DRPR-000056"	"DRUG-005134"
"DRPR-000057"	"DRUG-009378"
"DRPR-000058"	"DRUG-009811"
"DRPR-000059"	"DRUG-009811"
"DRPR-000060"	"DRUG-015195"
"DRPR-000061"	"DRUG-004642"
"DRPR-000062"	"DRUG-009340"
"DRPR-000062"	"DRUG-009560"
"DRPR-000063"	"DRUG-009340"
"DRPR-000063"	"DRUG-009560"
"DRPR-000064"	"DRUG-010561"
"DRPR-000065"	"DRUG-009531"
"DRPR-000066"	"DRUG-000334"
"DRPR-000067"	
"DRPR-000068"	"DRUG-000167"
"DRPR-000069"	"DRUG-000020"
"DRPR-000069"	"DRUG-000053"
"DRPR-000070"	"DRUG-000016"
"DRPR-000071"	"DRUG-005472"
"DRPR-000072"	"DRUG-009340"
"DRPR-000072"	"DRUG-009560"
"DRPR-000073"	"DRUG-006795"
"DRPR-000074"	"DRUG-001315"
"DRPR-000075"	"DRUG-009810"
"DRPR-000076"	"DRUG-010257"
"DRPR-000077"	"DRUG-017928"
"DRPR-000077"	"DRUG-000129"
"DRPR-000078"	"DRUG-009366"
"DRPR-000078"	"DRUG-016353"
"DRPR-000079"	"DRUG-016353"
"DRPR-000080"	"DRUG-002581"
"DRPR-000081"	"DRUG-016256"
"DRPR-000082"	"DRUG-000251"
"DRPR-000083"	"DRUG-010305"
"DRPR-000084"	"DRUG-000398"
"DRPR-000085"	"DRUG-009930"
"DRPR-000086"	"DRUG-000297"
"DRPR-000087"	"DRUG-010186"
"DRPR-000088"	"DRUG-011565"
"DRPR-000089"	"DRUG-010425"
"DRPR-000090"	"DRUG-000012"
"DRPR-000091"	"DRUG-012684"
"DRPR-000092"	"DRUG-010828"
"DRPR-000093"	"DRUG-009912"
"DRPR-000094"	"DRUG-010506"
"DRPR-000095"	"DRUG-009534"
"DRPR-000096"	"DRUG-012251"
"DRPR-000097"	"DRUG-010557"
"DRPR-000098"	"DRUG-017028"
"DRPR-000099"	"DRUG-000277"
"DRPR-000100"	"DRUG-010856"
"DRPR-000101"	"DRUG-000269"
"DRPR-000102"	"DRUG-009347"
"DRPR-000103"	"DRUG-010558"
"DRPR-000104"	"DRUG-010558"
"DRPR-000105"	"DRUG-008784"
"DRPR-000106"	"DRUG-008759"
"DRPR-000107"	"DRUG-010456"
"DRPR-000108"	"DRUG-009818"
"DRPR-000109"	"DRUG-009883"
"DRPR-000110"	"DRUG-010559"
"DRPR-000111"	"DRUG-011409"
"DRPR-000112"	"DRUG-010560"
"DRPR-000113"	"DRUG-010799"
"DRPR-000114"	"DRUG-015057"
"DRPR-000115"	"DRUG-011943"
"DRPR-000116"	"DRUG-005357"
"DRPR-000117"	"DRUG-009823"
"DRPR-000118"	"DRUG-000015"
"DRPR-000119"	"DRUG-000015"
"DRPR-000119"	"DRUG-010344"
"DRPR-000120"	"DRUG-016786"
"DRPR-000121"	"DRUG-014092"
"DRPR-000122"	"DRUG-009288"
"DRPR-000123"	"DRUG-003693"
"DRPR-000124"	"DRUG-006186"
"DRPR-000125"	"DRUG-010451"
"DRPR-000126"	
"DRPR-000127"	"DRUG-010296"
"DRPR-000128"	"DRUG-012008"
"DRPR-000129"	"DRUG-010131"
"DRPR-000130"	"DRUG-016574"
"DRPR-000131"	"DRUG-016574"
"DRPR-000132"	"DRUG-010526"
"DRPR-000133"	"DRUG-009869"
"DRPR-000133"	"DRUG-010006"
"DRPR-000134"	"DRUG-000026"
"DRPR-000135"	"DRUG-000026"
"DRPR-000136"	"DRUG-010263"
"DRPR-000137"	"DRUG-010086"
"DRPR-000137"	"DRUG-003122"
"DRPR-000138"	"DRUG-003574"
"DRPR-000138"	"DRUG-003651"
"DRPR-000139"	"DRUG-009332"
"DRPR-000140"	"DRUG-004747"
"DRPR-000141"	"DRUG-010298"
"DRPR-000142"	"DRUG-000054"
"DRPR-000143"	"DRUG-000008"
"DRPR-000143"	"DRUG-002529"
"DRPR-000144"	
"DRPR-000145"	"DRUG-010565"
"DRPR-000146"	"DRUG-010312"
"DRPR-000147"	"DRUG-000018"
"DRPR-000148"	"DRUG-005350"
"DRPR-000149"	"DRUG-009458"
"DRPR-000150"	"DRUG-010582"
"DRPR-000151"	"DRUG-016149"
"DRPR-000152"	"DRUG-011851"
"DRPR-000153"	"DRUG-003281"
"DRPR-000154"	"DRUG-008549"
"DRPR-000155"	"DRUG-000935"
"DRPR-000156"	"DRUG-009583"
"DRPR-000157"	"DRUG-016426"
"DRPR-000158"	"DRUG-000130"
"DRPR-000159"	"DRUG-010451"
"DRPR-000162"	"DRUG-000019"
"DRPR-000164"	"DRUG-000019"
"DRPR-000165"	"DRUG-011952"
"DRPR-000166"	"DRUG-000106"
"DRPR-000167"	"DRUG-010300"
"DRPR-000168"	"DRUG-000258"
"DRPR-000169"	"DRUG-009826"
"DRPR-000170"	"DRUG-002509"
"DRPR-000171"	"DRUG-000074"
"DRPR-000172"	"DRUG-009340"
"DRPR-000173"	"DRUG-014251"
"DRPR-000174"	"DRUG-000335"
"DRPR-000175"	"DRUG-000379"
"DRPR-000176"	"DRUG-012592"
"DRPR-000177"	"DRUG-009301"
"DRPR-000177"	"DRUG-002082"
"DRPR-000178"	"DRUG-000386"
"DRPR-000179"	"DRUG-004144"
"DRPR-000180"	"DRUG-009180"
"DRPR-000181"	"DRUG-011526"
"DRPR-000182"	"DRUG-011526"
"DRPR-000183"	"DRUG-014892"
"DRPR-000184"	"DRUG-011784"
"DRPR-000185"	"DRUG-000438"
"DRPR-000186"	"DRUG-009267"
"DRPR-000187"	"DRUG-009267"
"DRPR-000187"	"DRUG-009366"
"DRPR-000188"	"DRUG-011792"
"DRPR-000189"	"DRUG-000105"
"DRPR-000190"	"DRUG-000105"
"DRPR-000191"	"DRUG-013034"
"DRPR-000192"	"DRUG-017028"
"DRPR-000193"	"DRUG-009320"
"DRPR-000193"	"DRUG-009872"
"DRPR-000193"	"DRUG-009981"
"DRPR-000194"	"DRUG-009232"
"DRPR-000195"	"DRUG-009232"
"DRPR-000196"	"DRUG-009232"
"DRPR-000197"	"DRUG-009232"
"DRPR-000198"	"DRUG-009232"
"DRPR-000199"	"DRUG-009232"
"DRPR-000200"	"DRUG-010413"
"DRPR-000201"	"DRUG-014049"
"DRPR-000202"	"DRUG-000015"
"DRPR-000202"	"DRUG-010344"
"DRPR-000203"	"DRUG-000015"
"DRPR-000203"	"DRUG-010344"
"DRPR-000204"	
"DRPR-000205"	"DRUG-006782"
"DRPR-000206"	"DRUG-010565"
"DRPR-000206"	"DRUG-010569"
"DRPR-000207"	"DRUG-009811"
"DRPR-000208"	"DRUG-009366"
"DRPR-000208"	"DRUG-009384"
"DRPR-000209"	"DRUG-010605"
"DRPR-000210"	"DRUG-009384"
"DRPR-000211"	"DRUG-000269"
"DRPR-000212"	"DRUG-001749"
"DRPR-000213"	"DRUG-010587"
"DRPR-000214"	"DRUG-010086"
"DRPR-000214"	"DRUG-009910"
"DRPR-000215"	"DRUG-017028"
"DRPR-000216"	"DRUG-000057"
"DRPR-000217"	"DRUG-000091"
"DRPR-000218"	"DRUG-007641"
"DRPR-000219"	"DRUG-002520"
"DRPR-000219"	"DRUG-011947"
"DRPR-000220"	"DRUG-012911"
"DRPR-000221"	"DRUG-000261"
"DRPR-000222"	"DRUG-000264"
"DRPR-000223"	"DRUG-009236"
"DRPR-000224"	"DRUG-009235"
"DRPR-000225"	"DRUG-017978"
"DRPR-000226"	"DRUG-009828"
"DRPR-000227"	"DRUG-011786"
"DRPR-000228"	"DRUG-009834"
"DRPR-000229"	"DRUG-010309"
"DRPR-000229"	"DRUG-011589"
"DRPR-000230"	"DRUG-009022"
"DRPR-000230"	"DRUG-005842"
"DRPR-000231"	"DRUG-009574"
"DRPR-000232"	"DRUG-009241"
"DRPR-000233"	"DRUG-010594"
"DRPR-000234"	"DRUG-009972"
"DRPR-000234"	"DRUG-017257"
"DRPR-000235"	"DRUG-004897"
"DRPR-000236"	
"DRPR-000237"	"DRUG-010086"
"DRPR-000237"	"DRUG-009910"
"DRPR-000238"	"DRUG-000330"
"DRPR-000239"	"DRUG-013372"
"DRPR-000240"	"DRUG-010141"
"DRPR-000241"	"DRUG-010997"
"DRPR-000242"	"DRUG-016051"
"DRPR-000243"	"DRUG-009903"
"DRPR-000244"	"DRUG-000262"
"DRPR-000245"	"DRUG-006705"
"DRPR-000246"	"DRUG-010316"
"DRPR-000247"	"DRUG-010324"
"DRPR-000248"	"DRUG-000267"
"DRPR-000249"	"DRUG-000268"
"DRPR-000250"	"DRUG-006161"
"DRPR-000253"	"DRUG-000268"
"DRPR-000254"	"DRUG-011589"
"DRPR-000255"	"DRUG-009366"
"DRPR-000255"	"DRUG-011589"
"DRPR-000256"	"DRUG-017527"
"DRPR-000257"	"DRUG-017527"
"DRPR-000258"	"DRUG-010368"
"DRPR-000259"	"DRUG-009830"
"DRPR-000259"	"DRUG-009709"
"DRPR-000260"	"DRUG-009830"
"DRPR-000260"	"DRUG-009916"
"DRPR-000261"	"DRUG-000506"
"DRPR-000262"	"DRUG-005348"
"DRPR-000263"	
"DRPR-000264"	"DRUG-016064"
"DRPR-000265"	"DRUG-012124"
