"id"	"name"	"abbreviation"	"oncologyPipelineUrl"
"DMAN-000018"	"Alexion"	"ALX"	"https://alexion.com/our-research/pipeline"
"DMAN-000001"	"Amgen"	"AMG"	"https://www.amgenoncology.com/clinical-trial-finder.html#molecule"
"DMAN-000002"	"Astellas"	"ASP"	"https://www.astellas.com/en/science/pipeline"
"DMAN-000003"	"AstraZeneca"	"AZ"	"https://www.astrazeneca.de/therapiebereiche/onkologie.html"
"DMAN-000004"	"Bayer AG"		
"DMAN-000005"	"Böhringer Ingelheim"	"BI"	
"DMAN-000006"	"Bristol-Myers Squibb"	"BMS"	
"DMAN-000007"	"Eli Lilly"	"LY"	"https://www.lilly.com/discovery/clinical-development-pipeline"
"DMAN-000008"	"Gilead"	"GIL"	"https://www.gilead.com/science-and-medicine/pipeline"
"DMAN-000009"	"Immatics US, Inc."		"https://immatics.com/our-pipeline/"
"DMAN-000010"	"Immunocore"		
"DMAN-000011"	"Jannssen Biologicals BV"		
"DMAN-000012"	"Mirati Therapeutics "		
"DMAN-000021"	"Light Chain Bioscience"	"LCB"	"https://www.lightchainbio.com/our-pipeline/pipeline.html"
"DMAN-000013"	"Novartis"	"NOV"	"https://www.novartis.com/research-development/novartis-pipeline"
"DMAN-000014"	"Pharmamar"	"PHM"	"https://pharmamar.com/en/science/oncology-pipeline/"
"DMAN-000015"	"other"		
"DMAN-000016"	"Roche"	"ROG"	
"DMAN-000017"	"Seagen"	"SEA"	"https://www.seagen.com/science/pipeline"
"DMAN-000019"	"Takeda"	"TAK"	"https://www.takeda.com/what-we-do/research-and-development/our-pipeline/"
"DMAN-000020"	"Iterion Therapeutics"	"ITT"	"https://iteriontherapeutics.com/ourscience/"
"DMAN-000023"	"Daiichi Sankyo"	"DS"	"https://www.daiichi-sankyo.de/onkologie/onkologie-pipeline/"
"DMAN-000024"	"Millennium Pharmaceuticals"		
"DMAN-000025"	"Cellestia"		
"DMAN-000026"	"Agensys"	"AGS"	
"DMAN-000027"	"Stemcentrx"	"SC"	
"DMAN-000028"	"Genentech"		
"DMAN-000029"	"Exelixis"	"XB"	
"DMAN-000030"	"BioNTech"	"BNT"	
"DMAN-000031"	"Aprea"	"APR"	
"DMAN-000032"	"PMV Pharmaceuticals"	"PC"	
"DMAN-000033"	"CARsgen Therapeutics"	"AB"	
"DMAN-000034"	"Suzhou Transcenta Therapeutics"	"TST"	
"DMAN-000035"	"AskGene Pharma"	"ASK"	
"DMAN-000036"	"Beijing Mabworks Biotech"	"MIL"	
"DMAN-000037"	"Keymed Biosciences"	"CMG"	
"DMAN-000038"	"Q1802"	"Q"	
"DMAN-000039"	"LaNova Medicines Development"	"LM"	
"DMAN-000040"	"Turning Point Therapeutics"	"LM"	
"DMAN-000041"	"NovaRock Biotherapeutics"	"NBL"	
"DMAN-000042"	"Innovent Biologics (Suzhou)"	"IBI"	
"DMAN-000043"	"Conjupro Biotherapeutics"	"CPO"	
"DMAN-000044"	"Shanghai Longyao Biotechnology"	"LY"	
"DMAN-000045"	"I-Mab Biopharma"	"TJ"	
"DMAN-000046"	"FutureGen Biopharmaceutical"	"M"	
"DMAN-000047"	"SpringWorks Therapeutics"	"PF"	
"DMAN-000048"	"Dizal Pharmaceuticals"	"DZD"	
"DMAN-000049"	"Sanofi"	"SAR"	
"DMAN-000050"	"Oncomatryx Biopharma"	"OMTX"	
"DMAN-000051"	"IDEAYA Biosciences"	"IDE"	
